zone,class,rank,monster,area,x,y
North Shroud,Gladiator,5,Dullahan,Proud Creek,23.0,20.0
North Shroud,Marauder,3,Balloon,Alder Springs,15.5,27.5
North Shroud,Marauder,3,Shroud Hare,,17.0,27.0
North Shroud,Marauder,3,Yarzon Scavenger,,21.0,30.0
North Shroud,Marauder,5,Watchwolf,Proud Creek,21.0,20.0
North Shroud,Lancer,1,Microchu,,27.0,22.0
North Shroud,Lancer,1,Miteling,,25.0,27.0
North Shroud,Lancer,1,Opo-opo,,25.0,28.0
North Shroud,Lancer,3,Yarzon Scavenger,,21.0,30.0
North Shroud,Lancer,4,Dryad,Proud Creek,22.0,23.0
North Shroud,Lancer,4,Lesser Kalong,,23.0,25.0
North Shroud,Pugilist,3,Clay Golem,Alder Springs,16.5,29.4
North Shroud,Pugilist,3,Shroud Hare,,17.0,27.0
North Shroud,Pugilist,3,Ziz,,18.0,26.0
North Shroud,Archer,1,Little Ladybug,,,
North Shroud,Archer,1,Midge Swarm,,25.6,21.8
North Shroud,Archer,1,Miteling,,25.0,27.0
North Shroud,Archer,3,Banemite,,25.0,25.0
North Shroud,Archer,3,Yarzon Scavenger,,21.0,30.0
North Shroud,Archer,3,Ziz,,18.0,26.0
North Shroud,Conjurer,1,Microchu,,27.0,22.0
North Shroud,Conjurer,1,Midge Swarm,,25.6,21.8
North Shroud,Conjurer,1,Miteling,,25.0,27.0
North Shroud,Conjurer,4,Dryad,Proud Creek,22.0,23.0
North Shroud,Arcanist,3,Balloon,Alder Springs,15.5,27.5
North Shroud,Arcanist,3,Clay Golem,Alder Springs,16.5,29.4
North Shroud,Arcanist,4,Dryad,Proud Creek,22.0,23.0
North Shroud,Arcanist,5,Watchwolf,Proud Creek,21.0,20.0
North Shroud,Maelstrom,1,Ixali Straightbeak,Alder Springs,22.9,28.2
North Shroud,Maelstrom,3,Ixali Boldwing,Proud Creek,22.6,28.2
North Shroud,Order of the Twin Adder,1,Ixali Deftalon,Alder Springs,22.9,28.0
North Shroud,Order of the Twin Adder,3,Ixali Windtalon,Proud Creek,22.0,23.0
North Shroud,Immortal Flames,1,Ixali Lightwing,Alder Springs,22.0,28.0
North Shroud,Immortal Flames,3,Ixali Windtalon,Proud Creek,22.0,23.0
Northern Thanalan,Gladiator,5,Basilisk,Bluefog,20.0,26.0
Northern Thanalan,Lancer,5,Basilisk,Bluefog,20.0,26.0
Northern Thanalan,Pugilist,5,Basilisk,Bluefog,20.0,26.0
Northern Thanalan,Archer,5,Ahriman,,24.0,21.0
Northern Thanalan,Conjurer,5,Ahriman,,24.0,21.0
Outer La Noscea,Gladiator,3,Pteroc,The Long Climb,14.6,18.3
Outer La Noscea,Gladiator,4,Grenade,Iron Lake,21.4,14.6
Outer La Noscea,Gladiator,4,Velociraptor,The Long Climb,18.6,15.2
Outer La Noscea,Marauder,4,Grenade,Iron Lake,21.4,14.6
Outer La Noscea,Marauder,5,Synthetic Doblyn,U'Ghamaro Mines,21.8,6.0
Outer La Noscea,Lancer,4,Basalt Golem,,15.7,15.7
Outer La Noscea,Lancer,4,Ringtail,,15.0,12.5
Outer La Noscea,Pugilist,4,Basalt Golem,,15.7,15.7
Outer La Noscea,Pugilist,4,Velociraptor,The Long Climb,18.6,15.2
Outer La Noscea,Rogue,4,Basalt Golem,,15.7,15.7
Outer La Noscea,Rogue,4,Coeurl,The Long Climb,14.0,14.0
Outer La Noscea,Rogue,4,Highland Condor,,16.5,16.5
Outer La Noscea,Rogue,4,Velociraptor,The Long Climb,18.6,15.2
Outer La Noscea,Archer,4,Highland Condor,,16.5,16.5
Outer La Noscea,Archer,4,Ringtail,,15.0,12.5
Outer La Noscea,Conjurer,5,Grenade,Iron Lake,21.4,14.6
Outer La Noscea,Thaumaturge,4,Plasmoid,,25.0,18.0
Outer La Noscea,Thaumaturge,5,Synthetic Doblyn,U'Ghamaro Mines,21.8,6.0
Outer La Noscea,Arcanist,4,Coeurl,The Long Climb,14.0,14.0
Outer La Noscea,Maelstrom,2,Kobold Bedesman,Iron Lake,24.0,16.0
Outer La Noscea,Maelstrom,2,Kobold Priest,Iron Lake,20.0,14.0
Outer La Noscea,Maelstrom,3,U'Ghamaro Bedesman,U'Ghamaro Mines,22.6,7.0
Outer La Noscea,Order of the Twin Adder,2,Kobold Roundsman,Iron Lake,22.0,15.0
Outer La Noscea,Order of the Twin Adder,2,U'Ghamaro Roundsman,U'Ghamaro Mines,23.0,9.0
Outer La Noscea,Order of the Twin Adder,3,U'Ghamaro Quarryman,U'Ghamaro Mines,21.0,5.0
Outer La Noscea,Immortal Flames,2,Kobold Quarryman,Iron Lake,23.0,16.0
Outer La Noscea,Immortal Flames,3,U'Ghamaro Priest,U'Ghamaro Mines,22.0,6.0
South Shroud,Gladiator,3,Coeurlclaw Cutter,Silent Arbor,26.0,21.0
South Shroud,Gladiator,3,Goblin Thug,Silent Arbor,26.0,21.0
South Shroud,Gladiator,3,Kedtrap,Upper Paths,22.0,21.0
South Shroud,Gladiator,3,Overgrown Offering,Upper Paths,18.0,19.0
South Shroud,Gladiator,4,Adamantoise,Lower Paths,20.0,27.0
South Shroud,Gladiator,4,Treant,Snakemolt,26.1,36.8
South Shroud,Marauder,3,Redbelly Larcener,,15.0,23.0
South Shroud,Marauder,4,Adamantoise,Lower Paths,20.0,27.0
South Shroud,Marauder,4,Stroper,,16.0,29.0
South Shroud,Marauder,5,Wild Hog,Urth's Gift,29.5,23.6
South Shroud,Lancer,2,Antelope Doe,,17.0,22.0
South Shroud,Lancer,2,Qiqirn Beater,,15.0,17.0
South Shroud,Lancer,3,Antelope Stag,Silent Arbor,23.7,20.2
South Shroud,Lancer,3,Coeurlclaw Poacher,,15.0,33.6
South Shroud,Lancer,3,Goblin Thug,Silent Arbor,26.0,21.0
South Shroud,Lancer,3,Midland Condor,,16.1,32.5
South Shroud,Lancer,3,Redbelly Lookout,,15.4,23.0
South Shroud,Lancer,3,Smallmouth Orobon,,15.3,18.7
South Shroud,Lancer,5,Wild Hog,Urth's Gift,29.5,23.6
South Shroud,Pugilist,3,Bark Eft,Upper Paths,17.8,24.3
South Shroud,Pugilist,3,Bigmouth Orobon,,17.4,30.9
South Shroud,Pugilist,3,Coeurlclaw Hunter,,15.0,17.0
South Shroud,Pugilist,3,Smallmouth Orobon,,15.3,18.7
South Shroud,Pugilist,5,Wild Hog,Urth's Gift,29.5,23.6
South Shroud,Rogue,3,Antelope Stag,Silent Arbor,23.7,20.2
South Shroud,Rogue,3,Bark Eft,Upper Paths,17.8,24.3
South Shroud,Rogue,3,Coeurlclaw Cutter,Silent Arbor,26.0,21.0
South Shroud,Rogue,3,Coeurlclaw Hunter,,15.0,17.0
South Shroud,Rogue,3,Redbelly Larcener,,15.0,23.0
South Shroud,Rogue,3,Redbelly Lookout,,15.4,23.0
South Shroud,Rogue,3,River Yarzon,Silent Arbor,22.2,22.9
South Shroud,Archer,2,Antelope Doe,,17.0,22.0
South Shroud,Archer,3,Overgrown Offering,Upper Paths,18.0,19.0
South Shroud,Archer,3,Redbelly Sharpeye,,15.5,22.9
South Shroud,Archer,5,Lesser Kalong,,22.0,27.0
South Shroud,Conjurer,2,Qiqirn Beater,,15.0,17.0
South Shroud,Conjurer,3,Antelope Stag,Silent Arbor,23.7,20.2
South Shroud,Conjurer,3,Bark Eft,Upper Paths,17.8,24.3
South Shroud,Conjurer,3,Goblin Thug,Silent Arbor,26.0,21.0
South Shroud,Conjurer,4,Bigmouth Orobon,,17.4,30.9
South Shroud,Conjurer,4,Deepvoid Deathmouse,,22.1,27.4
South Shroud,Conjurer,4,Will-o'-the-wisp,,23.2,24.2
South Shroud,Conjurer,5,Lesser Kalong,,22.0,27.0
South Shroud,Thaumaturge,3,Bark Eft,Upper Paths,17.8,24.3
South Shroud,Thaumaturge,3,Kedtrap,Upper Paths,22.0,21.0
South Shroud,Thaumaturge,3,River Yarzon,Silent Arbor,22.2,22.9
South Shroud,Thaumaturge,4,Adamantoise,Lower Paths,20.0,27.0
South Shroud,Thaumaturge,4,Will-o'-the-wisp,,23.2,24.2
South Shroud,Thaumaturge,5,Ked,,31.7,24.0
South Shroud,Thaumaturge,5,Lesser Kalong,,22.0,27.0
South Shroud,Arcanist,3,Antelope Stag,Silent Arbor,23.7,20.2
South Shroud,Arcanist,3,Kedtrap,Upper Paths,22.0,21.0
South Shroud,Arcanist,5,Wild Hog,Urth's Gift,29.5,23.6
Southern Thanalan,Gladiator,3,Sabotender,Broken Water,13.4,13.8
Southern Thanalan,Gladiator,4,Fallen Wizard,Sagolii Desert,21.0,38.0
Southern Thanalan,Gladiator,4,Sandworm,Sagolii Desert,13.2,34.3
Southern Thanalan,Gladiator,5,Tempered Orator,Zanr'ak,21.2,19.4
Southern Thanalan,Marauder,3,Sabotender,Broken Water,13.4,13.8
Southern Thanalan,Marauder,3,Sandskin Peiste,,15.0,13.0
Southern Thanalan,Marauder,4,Smoke Bomb,,20.0,35.0
Southern Thanalan,Marauder,5,Iron Tortoise,Zanr'ak,16.0,24.0
Southern Thanalan,Lancer,3,Corpse Brigade Firedancer,,23.0,8.0
Southern Thanalan,Lancer,3,Sabotender,Broken Water,13.4,13.8
Southern Thanalan,Lancer,3,Sandskin Peiste,,15.0,13.0
Southern Thanalan,Lancer,4,Smoke Bomb,,20.0,35.0
Southern Thanalan,Lancer,4,Sundrake,Sagolii Desert,25.0,38.0
Southern Thanalan,Pugilist,3,Corpse Brigade Knuckledancer,Broken Water,24.0,10.0
Southern Thanalan,Pugilist,3,Fallen Mage,,19.4,16.6
Southern Thanalan,Pugilist,4,Russet Yarzon,,13.0,32.0
Southern Thanalan,Pugilist,4,Smoke Bomb,,20.0,35.0
Southern Thanalan,Pugilist,5,Zahar'ak Battle Drake,Zahar'ak,29.5,19.7
Southern Thanalan,Rogue,3,Corpse Brigade Firedancer,,23.0,8.0
Southern Thanalan,Rogue,3,Corpse Brigade Knuckledancer,Broken Water,24.0,10.0
Southern Thanalan,Rogue,3,Sandstone Golem,Broken Water,22.1,11.7
Southern Thanalan,Archer,3,Sandskin Peiste,,15.0,13.0
Southern Thanalan,Archer,4,Fallen Pikeman,,21.0,39.0
Southern Thanalan,Archer,4,Russet Yarzon,,13.0,32.0
Southern Thanalan,Archer,4,Sandworm,Sagolii Desert,13.2,34.3
Southern Thanalan,Archer,4,Smoke Bomb,,20.0,35.0
Southern Thanalan,Archer,5,Tempered Gladiator,,21.0,19.0
Southern Thanalan,Conjurer,3,Sabotender,Broken Water,13.4,13.8
Southern Thanalan,Conjurer,4,Sandworm,Sagolii Desert,13.2,34.3
Southern Thanalan,Thaumaturge,3,Corpse Brigade Knuckledancer,Broken Water,24.0,10.0
Southern Thanalan,Thaumaturge,3,Fire Sprite,The Red Labyrinth,14.0,20.0
Southern Thanalan,Thaumaturge,3,Potter Wasp Swarm,,13.7,13.9
Southern Thanalan,Thaumaturge,4,Russet Yarzon,,13.0,32.0
Southern Thanalan,Thaumaturge,4,Smoke Bomb,,20.0,35.0
Southern Thanalan,Thaumaturge,5,Iron Tortoise,Zanr'ak,16.0,24.0
Southern Thanalan,Arcanist,3,Sandstone Golem,Broken Water,22.1,11.7
Southern Thanalan,Arcanist,4,Sundrake,Sagolii Desert,25.0,38.0
Southern Thanalan,Arcanist,5,Zahar'ak Battle Drake,Zahar'ak,29.5,19.7
Southern Thanalan,Maelstrom,1,Amalj'aa Bruiser,Broken Water,20.0,15.0
Southern Thanalan,Maelstrom,2,Amalj'aa Divinator,Sagolii Desert,27.1,35.0
Southern Thanalan,Maelstrom,2,Amalj'aa Pugilist,Zanr'ak,19.0,20.0
Southern Thanalan,Maelstrom,3,Zahar'ak Archer,Zahar'ak,23.0,21.0
Southern Thanalan,Order of the Twin Adder,1,Amalj'aa Bruiser,Broken Water,20.0,15.0
Southern Thanalan,Order of the Twin Adder,2,Amalj'aa Lancer,Zanr'ak,22.0,21.0
Southern Thanalan,Order of the Twin Adder,2,Amalj'aa Sniper,Sagolii Desert,26.0,34.0
Southern Thanalan,Order of the Twin Adder,3,Zahar'ak Pugilist,,23.0,21.0
Southern Thanalan,Immortal Flames,1,Amalj'aa Seer,Broken Water,20.0,15.0
Southern Thanalan,Immortal Flames,2,Amalj'aa Archer,Zanr'ak,20.8,22.7
Southern Thanalan,Immortal Flames,2,Amalj'aa Halberdier,Sagolii Desert,21.5,19.5
Southern Thanalan,Immortal Flames,3,Zahar'ak Thaumaturge,Zahar'ak,29.7,19.1
The Sunken Temple of Qarn,Maelstrom,2,Temple Bat,,,
The Sunken Temple of Qarn,Maelstrom,2,Teratotaur,,,
The Sunken Temple of Qarn,Maelstrom,2,The Condemned,,,
The Sunken Temple of Qarn,Order of the Twin Adder,2,Temple Bee,,,
The Sunken Temple of Qarn,Order of the Twin Adder,2,Temple Guardian,,,
The Wanderer's Palace,Maelstrom,3,Giant Bavarois,,,
The Wanderer's Palace,Maelstrom,3,Tonberry,,,
The Wanderer's Palace,Order of the Twin Adder,3,Bronze Beetle,,,
The Wanderer's Palace,Order of the Twin Adder,3,Keeper of Halidom,,,
The Wanderer's Palace,Order of the Twin Adder,3,Tonberry,,,
The Wanderer's Palace,Immortal Flames,3,Corrupted Nymian,,,
The Wanderer's Palace,Immortal Flames,3,Soldier of Nym,,,
The Wanderer's Palace,Immortal Flames,3,Tonberry,,,
Upper La Noscea,Gladiator,3,Coeurl Pup,Oakwood,9.5,21.6
Upper La Noscea,Gladiator,3,Stoneshell,Oakwood,13.0,24.0
Upper La Noscea,Gladiator,4,Mamool Ja Sophist,Bronze Lake,35.4,24.0
Upper La Noscea,Gladiator,4,Uragnite,Bronze Lake,29.0,24.5
Upper La Noscea,Marauder,2,Wild Wolf,,13.0,25.0
Upper La Noscea,Marauder,3,Stoneshell,Oakwood,13.0,24.0
Upper La Noscea,Lancer,3,Stoneshell,Oakwood,13.0,24.0
Upper La Noscea,Pugilist,3,Coeurl Pup,Oakwood,9.5,21.6
Upper La Noscea,Pugilist,3,Forest Yarzon,Oakwood,11.1,21.2
Upper La Noscea,Pugilist,4,Mamool Ja Breeder,,35.0,24.0
Upper La Noscea,Rogue,2,Bumble Beetle,Poor Maid's Mill,12.5,26.5
Upper La Noscea,Rogue,2,Wild Wolf,,13.0,25.0
Upper La Noscea,Archer,3,Forest Yarzon,Oakwood,11.1,21.2
Upper La Noscea,Archer,3,Stoneshell,Oakwood,13.0,24.0
Upper La Noscea,Archer,4,Salamander,,27.2,24.3
Upper La Noscea,Conjurer,3,Stoneshell,Oakwood,13.0,24.0
Upper La Noscea,Conjurer,4,Mamool Ja Infiltrator,,28.0,21.0
Upper La Noscea,Thaumaturge,3,Forest Yarzon,Oakwood,11.1,21.2
Upper La Noscea,Thaumaturge,4,Mamool Ja Executioner,,31.7,17.1
Upper La Noscea,Thaumaturge,4,Salamander,,27.2,24.3
Upper La Noscea,Arcanist,2,Bumble Beetle,Oakwood,12.5,26.5
Upper La Noscea,Arcanist,3,Coeurl Pup,Oakwood,9.5,21.6
Upper La Noscea,Maelstrom,1,Kobold Pickman,Oakwood,12.0,22.5
Upper La Noscea,Order of the Twin Adder,1,Kobold Pickman,Oakwood,12.0,22.5
Upper La Noscea,Order of the Twin Adder,2,Kobold Sidesman,Zelma's Run,28.0,18.0
Upper La Noscea,Immortal Flames,1,Kobold Footman,Oakwood,12.0,22.0
Upper La Noscea,Immortal Flames,1,Kobold Pickman,Oakwood,12.0,22.5
Upper La Noscea,Immortal Flames,2,Kobold Sidesman,Zelma's Run,28.0,18.0
Western La Noscea,Gladiator,5,Dead Man's Moan,The Isles of Umbra,14.5,35.9
Western La Noscea,Gladiator,5,Lammergeyer,The Isles of Umbra,12.0,35.0
Western La Noscea,Gladiator,5,Preying Mantis,The Isles of Umbra,16.0,33.0
Western La Noscea,Marauder,2,Dusk Bat,Skull Valley,21.5,22.5
Western La Noscea,Marauder,2,Fat Dodo,Quarterstone,33.0,28.0
Western La Noscea,Marauder,2,Hedgemole,Skull Valley,25.8,23.5
Western La Noscea,Marauder,2,Killer Mantis,Skull Valley,22.0,23.0
Western La Noscea,Marauder,2,Puk Hatchling,Skull Valley,28.0,25.0
Western La Noscea,Marauder,2,Rhotano Buccaneer,,33.0,27.0
Western La Noscea,Marauder,2,Rothlyt Pelican,Skull Valley,23.1,24.0
Western La Noscea,Marauder,5,Dead Man's Moan,The Isles of Umbra,14.5,35.9
Western La Noscea,Lancer,5,Dead Man's Moan,The Isles of Umbra,14.5,35.9
Western La Noscea,Lancer,5,Sea Wasp,,13.6,17.4
Western La Noscea,Pugilist,5,Dead Man's Moan,The Isles of Umbra,14.5,35.9
Western La Noscea,Pugilist,5,Shelfclaw Reaver,,13.0,17.0
Western La Noscea,Rogue,2,Fat Dodo,Quarterstone,33.0,28.0
Western La Noscea,Rogue,2,Hedgemole,Skull Valley,25.8,23.5
Western La Noscea,Rogue,2,Killer Mantis,Skull Valley,22.0,23.0
Western La Noscea,Rogue,2,Puk Hatchling,Skull Valley,28.0,25.0
Western La Noscea,Rogue,2,Roseling,Quarterstone,34.8,30.0
Western La Noscea,Rogue,2,Rothlyt Pelican,Skull Valley,23.1,24.0
Western La Noscea,Rogue,2,Sewer Mole,Quarterstone,33.2,28.4
Western La Noscea,Archer,5,Dead Man's Moan,The Isles of Umbra,14.5,35.9
Western La Noscea,Archer,5,Lammergeyer,The Isles of Umbra,12.0,35.0
Western La Noscea,Archer,5,Shelfeye Reaver,,13.0,17.0
Western La Noscea,Conjurer,5,Dead Man's Moan,The Isles of Umbra,14.5,35.9
Western La Noscea,Conjurer,5,Lammergeyer,The Isles of Umbra,12.0,35.0
Western La Noscea,Conjurer,5,Sea Wasp,,13.6,17.4
Western La Noscea,Thaumaturge,5,Dead Man's Moan,The Isles of Umbra,14.5,35.9
Western La Noscea,Arcanist,2,Arbor Buzzard,Quarterstone,30.0,30.0
Western La Noscea,Arcanist,2,Dusk Bat,Skull Valley,21.5,22.5
Western La Noscea,Arcanist,2,Fat Dodo,Quarterstone,33.0,28.0
Western La Noscea,Arcanist,2,Hedgemole,Skull Valley,25.8,23.5
Western La Noscea,Arcanist,2,Killer Mantis,Skull Valley,22.0,23.0
Western La Noscea,Arcanist,2,Puk Hatchling,Skull Valley,28.0,25.0
Western La Noscea,Arcanist,2,Rothlyt Pelican,Skull Valley,23.1,24.0
Western La Noscea,Arcanist,2,Sewer Mole,Quarterstone,33.2,28.4
Western La Noscea,Arcanist,5,Axolotl,Sapsa Spawning Grounds,13.7,15.6
Western La Noscea,Arcanist,5,Lammergeyer,The Isles of Umbra,12.0,35.0
Western La Noscea,Maelstrom,2,Shelfscale Sahagin,Halfstone,19.7,19.0
Western La Noscea,Maelstrom,3,Sapsa Shelfclaw,Sapsa Spawning Grounds,15.0,14.0
Western La Noscea,Maelstrom,3,Trenchtooth Sahagin,Halfstone,20.0,20.0
Western La Noscea,Order of the Twin Adder,2,Shelfclaw Sahagin,Halfstone,18.0,20.0
Western La Noscea,Order of the Twin Adder,3,Sapsa Shelftooth,Sapsa Spawning Grounds,13.0,14.0
Western La Noscea,Immortal Flames,2,Shelfspine Sahagin,Halfstone,19.0,22.0
Western La Noscea,Immortal Flames,3,Sapsa Shelfspine,Sapsa Spawning Grounds,15.6,14.8
Western Thanalan,Gladiator,1,Cactuar,The Eighty Sins of Sasamo,23.0,25.0
Western Thanalan,Gladiator,1,Dusty Mongrel,Horizon's Edge,25.0,19.0
Western Thanalan,Gladiator,1,Earth Sprite,Hammerlea,22.4,26.2
Western Thanalan,Gladiator,1,Hammer Beak,Hammerlea,24.2,25.0
Western Thanalan,Gladiator,1,Little Ladybug,The Eighty Sins of Sasamo,29.0,25.0
Western Thanalan,Gladiator,2,Bloated Bogy,The Footfalls,13.0,11.0
Western Thanalan,Gladiator,2,Bomb,Horizon's Edge,27.4,16.9
Western Thanalan,Gladiator,2,Copper Coblyn,Horizon's Edge,26.7,17.0
Western Thanalan,Gladiator,2,Giant Tortoise,,26.0,24.0
Western Thanalan,Gladiator,2,Scaphite,The Footfalls,17.0,14.0
Western Thanalan,Gladiator,2,Thickshell,The Footfalls,15.0,15.0
Western Thanalan,Gladiator,3,Lead Coblyn,The Footfalls,14.0,9.0
Western Thanalan,Marauder,3,Yarzon Scavenger,Cape Westwind,14.0,9.0
Western Thanalan,Marauder,5,4th Cohort Secutor,Cape Westwind,11.0,6.0
Western Thanalan,Lancer,3,Moondrip Piledriver,,17.8,6.7
Western Thanalan,Lancer,3,Yarzon Scavenger,Cape Westwind,14.0,9.0
Western Thanalan,Pugilist,1,Cactuar,The Eighty Sins of Sasamo,23.0,25.0
Western Thanalan,Pugilist,1,Desert Peiste,,23.0,20.0
Western Thanalan,Pugilist,1,Goblin Mugger,,19.0,26.0
Western Thanalan,Pugilist,1,Nesting Buzzard,,21.0,25.0
Western Thanalan,Pugilist,1,Sandtoad,,20.9,23.5
Western Thanalan,Pugilist,1,Sun Midge Swarm,,15.5,15.0
Western Thanalan,Pugilist,2,Arbor Buzzard,,17.0,16.0
Western Thanalan,Pugilist,2,Bloated Bogy,The Footfalls,13.0,11.0
Western Thanalan,Pugilist,2,Bomb,Horizon's Edge,27.4,16.9
Western Thanalan,Pugilist,2,Giant Tortoise,,26.0,24.0
Western Thanalan,Pugilist,2,Scaphite,The Footfalls,17.0,14.0
Western Thanalan,Pugilist,2,Thickshell,The Footfalls,15.0,15.0
Western Thanalan,Archer,3,Yarzon Scavenger,Cape Westwind,14.0,9.0
Western Thanalan,Conjurer,3,Laughing Toad,The Footfalls,14.0,6.0
Western Thanalan,Conjurer,3,Lead Coblyn,The Footfalls,14.0,9.0
Western Thanalan,Thaumaturge,1,Cactuar,The Eighty Sins of Sasamo,23.0,25.0
Western Thanalan,Thaumaturge,1,Little Ladybug,The Eighty Sins of Sasamo,29.0,25.0
Western Thanalan,Thaumaturge,1,Rusty Coblyn,,23.0,25.0
Western Thanalan,Thaumaturge,1,Yarzon Feeder,,23.0,26.0
Western Thanalan,Thaumaturge,2,Bloated Bogy,The Footfalls,13.0,11.0
Western Thanalan,Thaumaturge,2,Bomb,Horizon's Edge,27.4,16.9
Western Thanalan,Thaumaturge,2,Copper Coblyn,Horizon's Edge,26.7,17.0
Western Thanalan,Thaumaturge,2,Giant Tortoise,,26.0,24.0
Western Thanalan,Thaumaturge,2,Thickshell,The Footfalls,15.0,15.0
Western Thanalan,Thaumaturge,3,Laughing Toad,The Footfalls,14.0,6.0
Western Thanalan,Thaumaturge,3,Yarzon Scavenger,Cape Westwind,14.0,9.0
Western Thanalan,Thaumaturge,5,4th Cohort Hoplomachus,,12.0,7.0
Western Thanalan,Arcanist,3,Lead Coblyn,The Footfalls,14.0,9.0
Western Thanalan,Arcanist,5,4th Cohort Vanguard,Cape Westwind,8.7,5.9
